source,event,acq_datetime,lat,lon,brightness,confidence,frp
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.97878,-83.5534,318.39,74,19.37
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.98529,-83.55834,328.24,83,38.51
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.90111,-83.08911,313.24,66,15.69
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.05548,-84.61554,332.17,86,37.52
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.05323,-84.60241,318.41,73,15.56
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.95642,-84.04378,310.35,59,10.14
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.8381,-83.44072,307.7,46,7.78
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.72193,-83.05423,306.95,42,7.43
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.2101,-86.46596,316.07,72,11.17
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.20837,-86.45509,344.86,93,53.39
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.03851,-93.24729,332.66,87,57.11
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.01542,-85.60223,327.69,83,27.97
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.01348,-85.59044,320.52,77,18.35
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.00605,-85.60429,308.62,32,5.7
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.72646,-83.97694,307.37,45,5.83
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.72388,-83.9625,312.3,64,11.78
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.55783,-83.24884,313.49,61,13.27
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.54543,-83.61037,307.27,45,7.91
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.65522,-84.33666,311.57,63,10.49
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.65749,-84.34203,309.94,58,8.55
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.60069,-84.79229,309.46,58,7.95
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.59846,-84.7793,307.47,50,5.75
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.57982,-85.45164,314.16,69,11.67
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.57778,-85.43956,309.02,59,6.58
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.567,-92.8985,312.25,67,12.34
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.56537,-92.88335,309.33,61,8.72
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.5628,-93.16548,346.99,94,100.96
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.50202,-93.57388,372.27,100,244.65
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.50035,-93.55721,325.38,81,39.87
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.49095,-93.57536,314.69,70,20.32
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.58499,-90.50029,308.73,59,6.31
NASA-FIRMS,Wildfire,2025-10-14 17:00:00,43.1589,-112.59911,301.11,44,5.01
NASA-FIRMS,Wildfire,2025-10-14 17:00:00,43.15295,-112.59295,301.02,44,5.45
